"","fit"
"1",316052.799528069
"2",303992.427526109
"3",304343.586552372
"4",297492.971382912
"5",319154.253889006
"6",283973.49498789
"7",316015.968684561
"8",322948.071711157
"9",326461.191148403
"10",309799.941615655
"11",299842.932976684
"12",332196.974912483
